Resource,Zone,10_days_cfrank,4_weeks_cfrank,8_weeks_cfrank,16_weeks_cfrank,Max_Deviation_MW
onshore_wind_turbine,1,8495.9,8495.9,8495.9,8495.9,0.0
conventional_steam_coal,2,13567.7,13567.7,13567.7,13567.7,0.0
natural_gas_fired_combined_cycle,2,36734.2,36734.2,36734.2,36734.2,0.0
natural_gas_fired_combustion_turbine,2,4704.5,4704.5,4704.5,4704.5,0.0
natural_gas_steam_turbine,2,0.0,0.0,0.0,0.0,0.0
nuclear,2,5020.0,5020.0,5020.0,5020.0,0.0
onshore_wind_turbine,2,6979.0,6979.0,6979.0,6979.0,0.0
solar_photovoltaic,2,454.5,454.5,454.5,454.5,0.0
conventional_steam_coal,3,650.0,650.0,650.0,650.0,0.0
natural_gas_fired_combined_cycle,3,3427.3,3427.3,3427.3,3427.3,0.0
natural_gas_fired_combustion_turbine,3,1208.0,1208.0,1208.0,1208.0,0.0
onshore_wind_turbine,3,9450.5,9450.5,9450.5,9450.5,0.0
solar_photovoltaic,3,137.5,137.5,137.5,137.5,0.0
naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,1162.9,0.0,1896.5,336.7,1896.5
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
battery,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,2,5988.9,5988.9,8517.9,5988.9,2529.0
naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,2,13472.9,17148.5,14979.4,18900.7,5427.8
utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0
battery,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0
battery,3,0.0,0.0,0.0,0.0,0.0
naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0
