Resource,Zone,CES_0pct,CES_20pct,CES_40pct,CES_60pct,CES_80pct,CES_100pct
onshore_wind_turbine,1,24899.1,24898.2,25008.6,24479.7,24172.9,24037.3
conventional_steam_coal,2,109168.4,109168.4,105734.0,89190.0,42054.9,0.0
natural_gas_fired_combined_cycle,2,90815.2,90815.2,91434.0,71260.4,36371.0,0.0
natural_gas_fired_combustion_turbine,2,537.5,537.5,419.0,423.5,176.3,0.0
natural_gas_steam_turbine,2,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,2,43854.7,43854.7,43809.7,39872.1,39078.2,42902.8
onshore_wind_turbine,2,16345.4,16345.4,16345.4,16067.1,16031.7,16324.0
solar_photovoltaic,2,856.7,856.7,853.0,558.9,573.0,831.1
conventional_steam_coal,3,4876.2,4876.2,4904.8,3713.2,0.0,0.0
natural_gas_fired_combined_cycle,3,18802.1,18802.1,19526.4,14660.4,12032.7,0.0
natural_gas_fired_combustion_turbine,3,64.1,64.1,36.7,14.6,12.1,0.0
onshore_wind_turbine,3,25576.8,25564.1,25921.1,22598.2,21448.9,26025.9
solar_photovoltaic,3,271.8,284.5,273.9,168.2,161.4,288.7
naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,4877.2,4878.1,5169.7,7695.9,5603.3,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,15817.5
battery,1,0.0,0.0,0.0,990.3,297.9,0.0
naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,98340.6,224296.4
naturalgas_ccavgcf,2,74323.8,74323.8,50808.3,0.0,0.0,0.0
naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,0.0,0.0,0.0,5410.9,5560.6,5782.4
landbasedwind_ltrg1,2,0.0,0.0,0.0,4770.2,6989.8,7489.1
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,2,39499.9,39499.9,62773.1,107589.4,107138.0,73084.8
utilitypv_losangeles,2,0.0,0.0,0.0,15736.1,3655.8,0.0
battery,2,0.0,0.0,0.0,2594.4,0.0,0.0
naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,4935.0
naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,5156.2
landbasedwind_ltrg1,3,0.0,0.0,0.0,10337.1,14850.7,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,3,0.0,0.0,1754.3,21149.2,20607.2,7509.9
utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
battery,3,0.0,0.0,0.0,1441.9,108.1,0.0
naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
