Resource,Zone,10_days_CO2_cfrank,4_weeks_CO2_cfrank,8_weeks_CO2_cfrank,16_weeks_CO2_cfrank,Max_Deviation_MW
onshore_wind_turbine,1,8495.9,8495.9,8495.9,8495.9,0.0
conventional_steam_coal,2,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,2,23601.0,26477.5,33601.7,32155.8,10000.7
natural_gas_fired_combustion_turbine,2,4704.5,4704.5,4704.5,4704.5,0.0
natural_gas_steam_turbine,2,0.0,0.0,0.0,0.0,0.0
nuclear,2,5020.0,5020.0,5020.0,5020.0,0.0
onshore_wind_turbine,2,6979.0,6979.0,6979.0,6979.0,0.0
solar_photovoltaic,2,454.5,454.5,454.5,454.5,0.0
conventional_steam_coal,3,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,3,3427.3,3427.3,3427.3,3427.3,0.0
natural_gas_fired_combustion_turbine,3,1208.0,1208.0,1208.0,1208.0,0.0
onshore_wind_turbine,3,9450.5,9450.5,9450.5,9450.5,0.0
solar_photovoltaic,3,137.5,137.5,137.5,137.5,0.0
naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,4348.3,1586.0,3532.5,1745.4,2762.3
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0
battery,1,514.4,1072.2,995.7,577.4,557.8
naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,2,23767.7,26162.3,22111.3,22781.7,4051.0
naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,1848.1,0.0,0.0,0.0,1848.1
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,2,41431.5,39050.7,41189.6,41431.5,2380.8
utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0
battery,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0
naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0
naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0
naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0
utilitypv_losangeles,3,0.0,3216.6,2890.3,3661.8,3661.8
utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0
battery,3,0.0,109.1,232.1,177.8,232.1
naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0
