Scenario,Total_B,FixedGen_B,FixedStor_B,FixedTrans_B,Variable_B,NSE_B,Geo_mult,Nuc_mult,Bat_mult,SolveTime_s
geo_opt_nuc_pess,19.824308123645764,18.892677944900015,0.7555317192852827,0.17470079670800012,0.001397662756485547,0.0,0.28,0.7,1.0,282.3998612
moderate_all,18.414789519638997,17.230507706855878,0.818312767685197,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.56,0.48,257.6184031
nuc_optimistic,19.76992043253544,18.82913101084928,0.7647140143051753,0.17470079670800012,0.0013746106770011442,0.0,1.0,0.39,1.0,380.4588427
optimistic_all,17.461822886948898,16.163323944874772,0.7695735302522746,0.5267507038323409,0.002174707993423741,0.0,0.28,0.39,0.31,307.5840247
geo_moderate,20.029709109045566,19.098078930299817,0.7555317192852827,0.17470079670800012,0.001397662756485547,0.0,0.5,1.0,1.0,227.8502015
geo_optimistic,19.980608981168768,19.048978802423015,0.755531719285283,0.17470079670800012,0.0013976627564855468,0.0,0.28,1.0,1.0,323.7609038
nuc_pessimistic,19.93143131864254,18.990641896956383,0.764714014305175,0.17470079670800012,0.0013746106770011444,0.0,1.0,0.7,1.0,208.4699548
nuc_moderate,19.85849091846514,18.91770149677898,0.7647140143051755,0.17470079670800012,0.001374610677001143,0.0,1.0,0.56,1.0,218.0877831
pessimistic_all,19.525334730727568,18.55005819609448,0.7824262424915828,0.19165163954000008,0.001198652605538487,0.0,0.8,0.7,0.8,597.2435563
nuc_opt_bat_opt,17.567412343651355,16.268914050754777,0.7695729945353605,0.5267507038323419,0.002174594532783304,0.0,1.0,0.39,0.31,312.6630039
geo_pessimistic,20.086811885327048,19.146022463640893,0.7647140143051755,0.17470079670800012,0.0013746106770011434,0.0,0.8,1.0,1.0,428.7120883
bat_pessimistic,19.682288393559514,18.708919140248465,0.7812826267350609,0.19087955847500007,0.0012070681050214522,0.0,1.0,1.0,0.8,474.2364448
bat_moderate,18.70072983504743,17.515236126879643,0.8187824260498665,0.3653065854776295,0.0014046966442655849,0.0,1.0,1.0,0.48,441.562583
bat_optimistic,17.885224087281443,16.58672579438488,0.7695729945353601,0.5267507038323419,0.002174594532783303,0.0,1.0,1.0,0.31,882.8535553
