Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
optimistic_all,6,hydroelectric_pumped_storage,CA_N,264.24598987500013,9764.286,0.0,0.0,36.951501154734395
optimistic_all,7,hydroelectric_pumped_storage,CA_N,505.08075225000016,18663.492,0.0,0.0,36.951501154734395
optimistic_all,17,hydroelectric_pumped_storage,CA_S,1623.0,19165.730886016114,0.0,0.0,11.808829874316768
optimistic_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
optimistic_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
optimistic_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
optimistic_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2993.0715935334874,0.0,0.0,9.237875288683604
optimistic_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2549.465898040838,0.0,0.0,10.68958447815865
optimistic_all,58,battery,CA_N,18539.919373844554,108957.34310811305,18539.919373844554,108957.34310811305,5.876904905089615
optimistic_all,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
optimistic_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
optimistic_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
optimistic_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
optimistic_all,141,battery,WECC_WYCO,583.7743741920742,1183.7929048834062,583.7743741920742,1183.7929048834062,2.0278260869565217
optimistic_all,167,hydroelectric_pumped_storage,WECC_PNW,0.0,0.0,0.0,0.0,0.0
optimistic_all,168,hydroelectric_pumped_storage,WECC_PNW,0.0,1587.302,0.0,0.0,1.5873019999999998e6
