Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
pessimistic_all,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,52.33675573186665,0.16270467032966573,0.041972067224152705
pessimistic_all,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
pessimistic_all,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
pessimistic_all,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,1329.701340080089,0.27977585553423917,1.0663693852140286
pessimistic_all,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,242.14971507692198,0.2755448717948705,0.19419476766171914
pessimistic_all,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,31.73663800526511,0.005889464166267705,0.02545156430119589
pessimistic_all,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,61.790115156414394,0.0059990356470028365,0.04955329826747484
pessimistic_all,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1158.457749327474,0.09961135531135544,0.929038604918876
pessimistic_all,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,443.43626046429006,0.2187578983516505,0.3556188432692951
pessimistic_all,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,3.805125000000039,0.22275641025641255,0.0030515640502161
pessimistic_all,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,2840.2130296406585,0.11633067765567763,2.2777417236507866
pessimistic_all,12,12,biomass,CA_S,-0.0,67.2,0.0,67.2,0.0,0.0,0.0
pessimistic_all,13,13,biomass,CA_S,-0.0,38.1,0.0,38.1,0.0,0.0,0.0
pessimistic_all,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
pessimistic_all,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
pessimistic_all,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
pessimistic_all,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,95.89446718145624,0.0067448287025166365,0.0769036782406771
pessimistic_all,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,2.295180983076922,0.006238260989010987,0.00184064696342357
