Scenario,Segment,Zone,NSE_Price,NSE_MWh,NSE_Pct
pessimistic_all,1,1,81000000,0.0,0.0
pessimistic_all,2,1,5400000,0.0,0.0
pessimistic_all,1,2,81000000,0.0,0.0
pessimistic_all,2,2,5400000,0.0,0.0
moderate_all,1,1,81000000,0.0,0.0
moderate_all,2,1,5400000,0.0,0.0
moderate_all,1,2,81000000,0.0,0.0
moderate_all,2,2,5400000,0.0,0.0
optimistic_all,1,1,81000000,0.0,0.0
optimistic_all,2,1,5400000,0.0,0.0
optimistic_all,1,2,81000000,0.0,0.0
optimistic_all,2,2,5400000,0.0,0.0
geo_optimistic,1,1,81000000,0.0,0.0
geo_optimistic,2,1,5400000,0.0,0.0
geo_optimistic,1,2,81000000,0.0,0.0
geo_optimistic,2,2,5400000,0.0,0.0
nuc_optimistic,1,1,81000000,0.0,0.0
nuc_optimistic,2,1,5400000,0.0,0.0
nuc_optimistic,1,2,81000000,0.0,0.0
nuc_optimistic,2,2,5400000,0.0,0.0
bat_optimistic,1,1,81000000,0.0,0.0
bat_optimistic,2,1,5400000,0.0,0.0
bat_optimistic,1,2,81000000,0.0,0.0
bat_optimistic,2,2,5400000,0.0,0.0
