Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
pessimistic_all,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
pessimistic_all,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
pessimistic_all,17,hydroelectric_pumped_storage,CA_S,1623.0,25761.905,0.0,0.0,15.873016019716573
pessimistic_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
pessimistic_all,58,battery,CA_N,5432.991871968807,24068.542111530463,5432.991871968807,24068.542111530463,4.4300714373806915
pessimistic_all,75,battery,CA_S,-0.0,-0.0,-0.0,-0.0,-0.0
moderate_all,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
moderate_all,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
moderate_all,17,hydroelectric_pumped_storage,CA_S,1623.0,25761.905,0.0,0.0,15.873016019716573
moderate_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
moderate_all,58,battery,CA_N,6801.785314677591,47082.965348275,6801.785314677591,47082.965348275,6.922148108184853
moderate_all,75,battery,CA_S,9102.497122757328,64815.90667631991,9102.497122757328,64815.90667631991,7.120673129824168
optimistic_all,6,hydroelectric_pumped_storage,CA_N,187.90825946666675,9764.286,0.0,0.0,51.96304849884525
optimistic_all,7,hydroelectric_pumped_storage,CA_N,429.3340175475329,18663.492,0.0,0.0,43.47079718166918
optimistic_all,17,hydroelectric_pumped_storage,CA_S,585.0280128015924,25761.905,0.0,0.0,44.03533580662393
optimistic_all,18,hydroelectric_pumped_storage,CA_S,13.121218681818188,666.667,0.0,0.0,50.80831408775979
optimistic_all,58,battery,CA_N,8012.918705897971,71885.20312808835,8012.918705897971,71885.20312808835,8.971163413298664
optimistic_all,75,battery,CA_S,10809.89957029045,72409.17647213925,10809.89957029045,72409.17647213925,6.698413431253894
geo_optimistic,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
geo_optimistic,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
geo_optimistic,17,hydroelectric_pumped_storage,CA_S,1623.0,25761.905,0.0,0.0,15.873016019716573
geo_optimistic,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
geo_optimistic,58,battery,CA_N,6801.78531467765,47082.96534827513,6801.78531467765,47082.96534827513,6.922148108184812
geo_optimistic,75,battery,CA_S,9102.49712275733,64815.90667631991,9102.49712275733,64815.90667631991,7.120673129824167
nuc_optimistic,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
nuc_optimistic,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
nuc_optimistic,17,hydroelectric_pumped_storage,CA_S,1623.0,25761.905,0.0,0.0,15.873016019716573
nuc_optimistic,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
nuc_optimistic,58,battery,CA_N,6801.785314677591,47082.965348275,6801.785314677591,47082.965348275,6.922148108184853
nuc_optimistic,75,battery,CA_S,9102.497122757328,64815.90667631991,9102.497122757328,64815.90667631991,7.120673129824168
bat_optimistic,6,hydroelectric_pumped_storage,CA_N,187.90825946666675,9764.286,0.0,0.0,51.96304849884525
bat_optimistic,7,hydroelectric_pumped_storage,CA_N,429.3340175475336,18663.492,0.0,0.0,43.470797181669106
bat_optimistic,17,hydroelectric_pumped_storage,CA_S,585.0280128015924,25761.905,0.0,0.0,44.03533580662393
bat_optimistic,18,hydroelectric_pumped_storage,CA_S,13.121218681818188,666.667,0.0,0.0,50.80831408775979
bat_optimistic,58,battery,CA_N,8012.918705897968,71885.20312808834,8012.918705897968,71885.20312808834,8.971163413298665
bat_optimistic,75,battery,CA_S,10809.89957029045,72409.17647213925,10809.89957029045,72409.17647213925,6.698413431253894
