Scenario,Total_B,FixedGen_B,FixedStor_B,FixedTrans_B,Variable_B,NSE_B,Geo_mult,Nuc_mult,Bat_mult,SolveTime_s
geo_opt_nuc_pess,13.077671604315949,12.381301993832572,0.5727806090769195,0.1219099415,0.001679059908594589,0.0,0.28,0.7,0.48,258.9194082
moderate_all,13.05383133201535,12.357461721531973,0.5727806090769195,0.1219099415,0.0016790599085945883,0.0,0.5,0.56,0.48,217.1140802
nuc_optimistic,12.96526084608565,12.268891235602274,0.5727806090769187,0.1219099415,0.001679059908594587,0.0,0.5,0.39,0.48,200.8438672
optimistic_all,12.55204552160181,11.950644887672356,0.4777078953738294,0.1219099415,0.0017827970577601606,0.0,0.28,0.39,0.31,235.3672113
geo_moderate,13.05383133201535,12.357461721531973,0.5727806090769195,0.1219099415,0.0016790599085945883,0.0,0.5,0.56,0.48,220.1746763
geo_optimistic,13.004731204138547,12.308361593655173,0.5727806090769193,0.1219099415,0.0016790599085945881,0.0,0.28,0.56,0.48,207.1087647
nuc_pessimistic,13.126771732192749,12.430402121709374,0.5727806090769193,0.1219099415,0.0016790599085945886,0.0,0.5,0.7,0.48,309.812019
nuc_moderate,13.05383133201535,12.357461721531973,0.5727806090769195,0.1219099415,0.0016790599085945883,0.0,0.5,0.56,0.48,205.3860841
pessimistic_all,13.65677076588346,13.254962044561669,0.27860012740851,0.1219099415,0.0012986524154068608,0.0,0.8,0.7,0.8,222.2459491
nuc_opt_bat_opt,12.60114564947861,11.999745015549156,0.4777078953738297,0.1219099415,0.0017827970577601602,0.0,0.5,0.39,0.31,277.5214003
geo_pessimistic,13.107705473312588,12.410830606684026,0.5732859590483858,0.1219099415,0.001678966082313105,0.0,0.8,0.56,0.48,144.375986
bat_pessimistic,13.52985210984628,13.128043388524489,0.278600127408511,0.1219099415,0.0012986524154068601,0.0,0.5,0.56,0.8,188.0267825
bat_moderate,13.05383133201535,12.357461721531973,0.5727806090769195,0.1219099415,0.0016790599085945883,0.0,0.5,0.56,0.48,220.587556
bat_optimistic,12.68971613540831,12.088315501478855,0.47770789537382996,0.1219099415,0.0017827970577601615,0.0,0.5,0.56,0.31,269.1695775
