Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
geo_optimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,136.9140941472476,0.4256389652014491,0.015182277372644383
geo_optimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
geo_optimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
geo_optimistic,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4392.155996570715,0.9241317313453244,0.4870421195070256
geo_optimistic,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,817.4434767022493,0.9301780839012072,0.09064555170196706
geo_optimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1149.1011870477494,0.21324219230186447,0.12742276870510608
geo_optimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,1676.7598028700388,0.1627920874304213,0.1859343449849295
geo_optimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1235.933212894482,0.10627317438396768,0.13705149180658543
geo_optimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,545.779428135012,0.2692462734945774,0.0605209764110729
geo_optimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,3.1683443728544196,0.1854785372236518,0.00035133477952240346
geo_optimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,3001.606767455756,0.12294111239894351,0.33284540054809186
geo_optimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
geo_optimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
geo_optimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
geo_optimistic,15,15,geothermal,CA_S,535.15,535.15,0.0,0.0,4333.806842367411,0.9244638110612549,0.48057183572001816
geo_optimistic,16,16,geothermal,CA_S,73.02,73.02,0.0,0.0,635.8326451269273,0.9940240384615451,0.07050689442182048
geo_optimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2651.6490195794718,0.18650625987020705,0.29403890929490106
geo_optimistic,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,99.70725668209978,0.2710025458852462,0.011056445550339428
geo_optimistic,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,8188.626099575326,0.19739307984232052,0.9080291807717226
