Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
pessimistic_all,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.97766554944576,0.42272779304027813,0.015078437670822207
pessimistic_all,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
pessimistic_all,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
pessimistic_all,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4337.255466418057,0.9125803834375168,0.48095425045399404
pessimistic_all,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,808.5557479472653,0.9200646378475469,0.0896599996738035
pessimistic_all,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,2137.871437129662,0.3967312863754992,0.23706658797777908
pessimistic_all,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2666.8045763035075,0.2589128645631642,0.29571949497422273
pessimistic_all,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1223.9392054200953,0.10524185551124074,0.1357214874018536
pessimistic_all,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,1372.2176311317112,0.6769483504870646,0.15216394499947453
pessimistic_all,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,9.55191964285719,0.5591804029304057,0.001059203541916605
pessimistic_all,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,2635.1209886378188,0.1079304288494587,0.29220613121794176
pessimistic_all,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
pessimistic_all,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
pessimistic_all,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
pessimistic_all,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
pessimistic_all,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
pessimistic_all,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2533.134690587414,0.1781704416385614,0.2808969648764168
pessimistic_all,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,68.21020542078925,0.1853941221482639,0.007563766643554809
pessimistic_all,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,9004.951714731209,0.2170712316311967,0.9985507738398699
pessimistic_all,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,843.4286358691539,0.7614821871845959,0.09352702198814497
pessimistic_all,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,25.971820673076763,0.4235456730769205,0.0028799911929239313
pessimistic_all,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,10383.444816324089,0.12450890238675713,1.1514105999593907
pessimistic_all,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.482907314285722,0.37471657509157524,0.002271330663074061
pessimistic_all,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
