Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
geo_opt_nuc_pess,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
geo_opt_nuc_pess,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
geo_opt_nuc_pess,17,hydroelectric_pumped_storage,CA_S,1623.0,15921.160356134167,0.0,0.0,9.809710632245327
geo_opt_nuc_pess,18,hydroelectric_pumped_storage,CA_S,42.0,387.99076212471124,0.0,0.0,9.2378752886836
geo_opt_nuc_pess,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,961.8937644341801,0.0,0.0,8.083140877598153
geo_opt_nuc_pess,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,786.4896073903001,0.0,0.0,8.08314087759815
geo_opt_nuc_pess,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,4115.473441108546,0.0,0.0,12.702078521939955
geo_opt_nuc_pess,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2684.9845288683605,0.0,0.0,11.25779676674365
geo_opt_nuc_pess,58,battery,CA_N,15408.04430295216,85253.47828655539,15408.04430295216,85253.47828655539,5.533049919269828
geo_opt_nuc_pess,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1976.9053117782912,0.0,0.0,9.237875288683604
geo_opt_nuc_pess,168,hydroelectric_pumped_storage,WECC_PNW,100.0,923.7875288683601,0.0,0.0,9.237875288683602
moderate_all,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
moderate_all,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
moderate_all,17,hydroelectric_pumped_storage,CA_S,1623.0,16365.47782735737,0.0,0.0,10.083473707552292
moderate_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
moderate_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
moderate_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
moderate_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2618.9376443418014,0.0,0.0,8.083140877598153
moderate_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2314.665127020785,0.0,0.0,9.70509487220455
moderate_all,58,battery,CA_N,15408.044302952161,85253.47828655539,15408.044302952161,85253.47828655539,5.5330499192698275
moderate_all,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
moderate_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
moderate_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
moderate_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
moderate_all,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
moderate_all,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1976.9922956120092,0.0,0.0,9.238281755196304
moderate_all,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1498.4356849412288,0.0,0.0,14.984356849412288
nuc_optimistic,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
nuc_optimistic,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
nuc_optimistic,17,hydroelectric_pumped_storage,CA_S,1623.0,25761.905,0.0,0.0,15.873016019716573
nuc_optimistic,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
nuc_optimistic,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
nuc_optimistic,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
nuc_optimistic,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2618.9376443418014,0.0,0.0,8.083140877598153
nuc_optimistic,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,1927.8290993071591,0.0,0.0,8.08314087759815
nuc_optimistic,58,battery,CA_N,15408.044302952145,85253.47828655527,15408.044302952145,85253.47828655527,5.533049919269827
nuc_optimistic,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,167,hydroelectric_pumped_storage,WECC_PNW,214.0,3396.825,0.0,0.0,15.873014018691588
nuc_optimistic,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1532.0342431149309,0.0,0.0,15.320342431149308
optimistic_all,6,hydroelectric_pumped_storage,CA_N,264.24598987500013,9764.286,0.0,0.0,36.951501154734395
optimistic_all,7,hydroelectric_pumped_storage,CA_N,505.08075225000016,18663.492,0.0,0.0,36.951501154734395
optimistic_all,17,hydroelectric_pumped_storage,CA_S,1623.0,19165.730886016114,0.0,0.0,11.808829874316768
optimistic_all,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
optimistic_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
optimistic_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
optimistic_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2993.0715935334874,0.0,0.0,9.237875288683604
optimistic_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2549.465898040838,0.0,0.0,10.68958447815865
optimistic_all,58,battery,CA_N,18539.919373844554,108957.34310811305,18539.919373844554,108957.34310811305,5.876904905089615
optimistic_all,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
optimistic_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
optimistic_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
optimistic_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
optimistic_all,141,battery,WECC_WYCO,583.7743741920742,1183.7929048834062,583.7743741920742,1183.7929048834062,2.0278260869565217
optimistic_all,167,hydroelectric_pumped_storage,WECC_PNW,0.0,0.0,0.0,0.0,0.0
optimistic_all,168,hydroelectric_pumped_storage,WECC_PNW,0.0,1587.302,0.0,0.0,1.5873019999999998e6
geo_moderate,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
geo_moderate,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
geo_moderate,17,hydroelectric_pumped_storage,CA_S,1623.0,16365.47782735737,0.0,0.0,10.083473707552292
geo_moderate,18,hydroelectric_pumped_storage,CA_S,42.0,666.667,0.0,0.0,15.87302380952381
geo_moderate,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
geo_moderate,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
geo_moderate,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2618.9376443418014,0.0,0.0,8.083140877598153
geo_moderate,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2314.665127020785,0.0,0.0,9.70509487220455
geo_moderate,58,battery,CA_N,15408.044302952161,85253.47828655539,15408.044302952161,85253.47828655539,5.5330499192698275
geo_moderate,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
geo_moderate,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
geo_moderate,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
geo_moderate,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
geo_moderate,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
geo_moderate,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1976.9922956120092,0.0,0.0,9.238281755196304
geo_moderate,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1498.4356849412288,0.0,0.0,14.984356849412288
geo_optimistic,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
geo_optimistic,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
geo_optimistic,17,hydroelectric_pumped_storage,CA_S,1623.0,16069.865818119497,0.0,0.0,9.901334453554835
geo_optimistic,18,hydroelectric_pumped_storage,CA_S,42.0,484.98845265588903,0.0,0.0,11.547344110854501
geo_optimistic,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
geo_optimistic,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
geo_optimistic,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,2618.9376443418014,0.0,0.0,8.083140877598153
geo_optimistic,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,2203.233256351039,0.0,0.0,9.237875288683602
geo_optimistic,58,battery,CA_N,15408.044302952154,85253.47828655536,15408.044302952154,85253.47828655536,5.533049919269828
