Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
geo_opt_nuc_pess,6,hydroelectric_pumped_storage,CA_N,615.15,3871.430946882223,0.0,0.0,6.293474675903801
geo_opt_nuc_pess,7,hydroelectric_pumped_storage,CA_N,1175.8,8146.420323325634,0.0,0.0,6.928406466512701
geo_opt_nuc_pess,17,hydroelectric_pumped_storage,CA_S,1623.0,9370.669745958428,0.0,0.0,5.773672055427251
geo_opt_nuc_pess,18,hydroelectric_pumped_storage,CA_S,42.0,436.48960739030014,0.0,0.0,10.39260969976905
geo_opt_nuc_pess,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
geo_opt_nuc_pess,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1432.3912762124714,0.0,0.0,14.72139030023095
geo_opt_nuc_pess,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,5142.857,0.0,0.0,15.873015432098766
geo_opt_nuc_pess,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,3785.714,0.0,0.0,15.87301467505241
geo_opt_nuc_pess,58,battery,CA_N,23276.21139,53978.11811711672,23276.21139,53978.11811711672,2.3190250858568406
geo_opt_nuc_pess,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,167,hydroelectric_pumped_storage,WECC_PNW,214.0,2409.1685080831417,0.0,0.0,11.257796766743652
geo_opt_nuc_pess,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1270.2688221709004,0.0,0.0,12.702688221709003
moderate_all,6,hydroelectric_pumped_storage,CA_N,615.15,9764.286,0.0,0.0,15.873016337478665
moderate_all,7,hydroelectric_pumped_storage,CA_N,1175.8,18663.492,0.0,0.0,15.873015819016839
moderate_all,17,hydroelectric_pumped_storage,CA_S,1623.0,11244.144,0.0,0.0,6.928
moderate_all,18,hydroelectric_pumped_storage,CA_S,42.0,363.77975057736694,0.0,0.0,8.661422632794451
moderate_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1546.172771362587,0.0,0.0,12.993048498845267
moderate_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
moderate_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,4769.927999999999,0.0,0.0,14.721999999999996
moderate_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,3785.714,0.0,0.0,15.87301467505241
moderate_all,58,battery,CA_N,35919.400769694184,116374.94021609846,35919.400769694184,116374.94021609846,3.239890914725003
moderate_all,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
moderate_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
moderate_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
moderate_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
moderate_all,141,battery,WECC_WYCO,5646.157058314514,5646.157058314514,5646.157058314514,5646.157058314514,1.0
moderate_all,167,hydroelectric_pumped_storage,WECC_PNW,214.0,2411.593533487296,0.0,0.0,11.26912866115559
moderate_all,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1270.0859122401848,0.0,0.0,12.700859122401848
nuc_optimistic,6,hydroelectric_pumped_storage,CA_N,615.15,4262.009237875289,0.0,0.0,6.928406466512703
nuc_optimistic,7,hydroelectric_pumped_storage,CA_N,1175.8,7755.842032332571,0.0,0.0,6.59622557606104
nuc_optimistic,17,hydroelectric_pumped_storage,CA_S,1623.0,9370.010050808314,0.0,0.0,5.773265588914549
nuc_optimistic,18,hydroelectric_pumped_storage,CA_S,42.0,448.63352424942235,0.0,0.0,10.681750577367199
nuc_optimistic,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,893.1266050808313,0.0,0.0,7.505265588914549
nuc_optimistic,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,926.9391237875286,0.0,0.0,9.52660969976905
nuc_optimistic,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,1122.4018475750577,0.0,0.0,3.464203233256351
nuc_optimistic,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,826.2124711316396,0.0,0.0,3.4642032332563506
nuc_optimistic,58,battery,CA_N,23276.211390000004,54634.13690827858,23276.211390000004,54634.13690827858,2.3472091739014993
nuc_optimistic,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
nuc_optimistic,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1976.7748360277142,0.0,0.0,9.237265588914552
nuc_optimistic,168,hydroelectric_pumped_storage,WECC_PNW,100.0,692.779676674365,0.0,0.0,6.92779676674365
optimistic_all,6,hydroelectric_pumped_storage,CA_N,264.24598987500013,9764.286,0.0,0.0,36.951501154734395
optimistic_all,7,hydroelectric_pumped_storage,CA_N,505.0807522500002,18663.492,0.0,0.0,36.951501154734395
optimistic_all,17,hydroelectric_pumped_storage,CA_S,1623.0,19038.946466146903,0.0,0.0,11.730712548457735
optimistic_all,18,hydroelectric_pumped_storage,CA_S,42.0,642.654512702078,0.0,0.0,15.301297921478048
optimistic_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
optimistic_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
optimistic_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,5142.857,0.0,0.0,15.873015432098766
optimistic_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,3785.714,0.0,0.0,15.87301467505241
optimistic_all,58,battery,CA_N,39509.78136670552,138281.42528631198,39509.78136670552,138281.42528631198,3.4999288910983517
optimistic_all,75,battery,CA_S,18754.733994882507,23902.781573835135,18754.733994882507,23902.781573835135,1.2744932335674473
optimistic_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
optimistic_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
