Scenario,Total_B,FixedGen_B,FixedStor_B,FixedTrans_B,Variable_B,NSE_B,Geo_mult,Nuc_mult,Bat_mult,SolveTime_s
geo_opt_nuc_pess,18.438629791939594,17.254347979156474,0.8183127676851972,0.36456434845763097,0.0014046966442655818,0.0,0.28,0.7,0.48,348.534658
moderate_all,18.414789519638997,17.230507706855878,0.818312767685197,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.56,0.48,230.4337867
nuc_optimistic,18.32621903370929,17.141937220926174,0.8183127676851973,0.36456434845763086,0.0014046966442655816,0.0,0.5,0.39,0.48,254.6461876
optimistic_all,17.461822886948898,16.163323944874772,0.7695735302522746,0.5267507038323409,0.002174707993423741,0.0,0.28,0.39,0.31,277.7288729
geo_moderate,18.414789519638997,17.230507706855878,0.818312767685197,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.56,0.48,245.5300342
geo_optimistic,18.365689391762192,17.181407578979073,0.8183127676851976,0.3645643484576304,0.0014046966442655834,0.0,0.28,0.56,0.48,263.6407384
nuc_pessimistic,18.487729919816395,17.303448107033276,0.8183127676851968,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.7,0.48,319.6912529
nuc_moderate,18.414789519638997,17.230507706855878,0.818312767685197,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.56,0.48,234.8267839
pessimistic_all,19.525334730727568,18.55005819609448,0.7824262424915828,0.19165163954000008,0.001198652605538487,0.0,0.8,0.7,0.8,670.1319621
nuc_opt_bat_opt,17.510923014825682,16.21242407275157,0.7695735302522744,0.5267507038323426,0.002174707993423742,0.0,0.5,0.39,0.31,280.3310347
geo_pessimistic,18.470690421735917,17.286408608952797,0.8183127676851975,0.36456434845763086,0.001404696644265582,0.0,0.8,0.56,0.48,251.1368853
bat_pessimistic,19.396493428453248,18.421216893820155,0.782426242491582,0.19165163954000008,0.001198652605538488,0.0,0.5,0.56,0.8,215.4539872
bat_moderate,18.414789519638997,17.230507706855878,0.818312767685197,0.36456434845763014,0.0014046966442655834,0.0,0.5,0.56,0.48,242.4580667
bat_optimistic,17.599493500755397,16.30099455868127,0.769573530252275,0.5267507038323415,0.0021747079934237397,0.0,0.5,0.56,0.31,311.3691085
