Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
geo_moderate,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.93510061318204,0.42259546703295214,0.011712273167257361
geo_moderate,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
geo_moderate,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
geo_moderate,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4368.938880701422,0.9192467332938239,0.3764311453848627
geo_moderate,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,811.118683127486,0.9229810304826905,0.06988661166249162
geo_moderate,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1200.0111944105684,0.22268971676926413,0.1033938905352928
geo_moderate,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2365.2972474054413,0.22964033109541676,0.20379583608950524
geo_moderate,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1088.7119334555396,0.09361417910848323,0.09380426032397159
geo_moderate,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,1421.844307810085,0.70143039776252,0.1225072027700164
geo_moderate,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,9.903883928571435,0.5797847985347989,0.0008533262819168432
geo_moderate,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,4018.218950892728,0.16457995532306163,0.3462128455889202
geo_moderate,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
geo_moderate,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
geo_moderate,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
geo_moderate,15,15,geothermal,CA_S,535.15,535.15,0.0,0.0,4338.521663332456,0.9254695507068721,0.37381037446398824
geo_moderate,16,16,geothermal,CA_S,73.02,73.02,0.0,0.0,620.3676480519289,0.9698469551282142,0.05345135528158477
geo_moderate,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,4836.345570312333,0.3401689730045221,0.41670326645022643
geo_moderate,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,96.86396473738,0.2632745290752881,0.00834587394977632
geo_moderate,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,8924.562149449985,0.21513337982491273,0.768947161704513
geo_moderate,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,959.9583347380324,0.8666900093913842,0.08271075090186839
geo_moderate,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,30.329815384614772,0.49461538461537463,0.0026132402984564034
geo_moderate,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,12736.55886726183,0.1527253231272523,1.0973917405535705
geo_moderate,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.46723942857144,0.37442994505494526,0.0017634731433291261
geo_moderate,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
geo_moderate,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
geo_moderate,26,26,geothermal,WECC_N,165.24,165.24,0.0,0.0,1081.8939040483965,0.7474211469690112,0.09321681364891385
geo_moderate,27,27,geothermal,WECC_N,215.16,215.16,0.0,0.0,1748.42313871736,0.9276430679586435,0.1506454868554047
geo_moderate,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,4557.534030544602,0.13361063248747812,0.39268064903049393
geo_moderate,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,995.7303874764043,0.0958656088822167,0.08579289857039132
geo_moderate,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
geo_moderate,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
geo_moderate,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
geo_moderate,33,33,geothermal,WECC_NMAZ,0.68,0.68,0.0,0.0,4.457815192307736,0.748357371794879,0.0003840887969769527
geo_moderate,34,34,geothermal,WECC_NMAZ,2.66,2.66,0.0,0.0,16.9589199484802,0.7278006638376849,0.0014611936296237877
