Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
geo_pessimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.93510061318204,0.42259546703295214,0.011712273167257361
geo_pessimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
geo_pessimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
geo_pessimistic,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4321.816889150062,0.9093320290641019,0.3723710782296897
geo_pessimistic,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,756.378565074856,0.8606916373027045,0.06517016084921179
geo_pessimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1862.4277482749426,0.34561636566255743,0.1604682119899859
geo_pessimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,3401.537604508324,0.33024611286790495,0.29307910490365535
geo_pessimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,2088.5175216127054,0.17958364130252424,0.17994828132976898
geo_pessimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,1628.1262546563516,0.8031943020330644,0.14028061449398468
geo_pessimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,14.297571428571434,0.8369963369963374,0.001231889787438491
geo_pessimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,5997.125210315027,0.24563285655729894,0.5167169359835231
geo_pessimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
geo_pessimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
geo_pessimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
geo_pessimistic,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
geo_pessimistic,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
geo_pessimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,5192.663909995632,0.36523096287075013,0.4474039295611471
geo_pessimistic,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,119.00163213434202,0.3234443143464395,0.010253272455898165
geo_pessimistic,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,6803.3154999822855,0.16399911088261143,0.5861789134623379
geo_pessimistic,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,783.846572628,0.7076890410850564,0.06753682557650822
geo_pessimistic,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,43.881387980768736,0.7156129807692226,0.003780854250821277
geo_pessimistic,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,5559.7961956897525,0.06666805998054748,0.479036330605268
geo_pessimistic,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.46332245714287,0.37435828754578776,0.0017631356540481914
geo_pessimistic,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
geo_pessimistic,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
geo_pessimistic,26,26,geothermal,WECC_N,0.0,165.24,0.0,165.24,0.0,0.0,0.0
geo_pessimistic,27,27,geothermal,WECC_N,0.0,215.16,0.0,215.16,0.0,0.0,0.0
geo_pessimistic,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,5913.434131791731,0.17336078441246913,0.5095060480752076
geo_pessimistic,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,2301.3108667254537,0.2215625537200203,0.19828272015309448
geo_pessimistic,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
geo_pessimistic,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
geo_pessimistic,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
geo_pessimistic,33,33,geothermal,WECC_NMAZ,0.0,0.68,0.0,0.68,0.0,0.0,0.0
geo_pessimistic,34,34,geothermal,WECC_NMAZ,0.0,2.66,0.0,2.66,0.0,0.0,0.0
geo_pessimistic,35,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,119.0,0.0,0.0,319.9823430094542,0.3069551657740054,0.027569925597732945
geo_pessimistic,36,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,97.3,0.0,0.0,314.6011606863297,0.36909942967699777,0.027106278776220696
geo_pessimistic,37,37,nuclear,WECC_NMAZ,4002.99,4002.99,0.0,0.0,37.68781764455568,0.0010747621873128056,0.003247211451197566
geo_pessimistic,38,38,onshore_wind_turbine,WECC_NMAZ,0.0,1235.1,0.0,1235.1,0.0,0.0,0.0
geo_pessimistic,39,39,solar_photovoltaic,WECC_NMAZ,6266.4,6266.4,0.0,0.0,3770.772296948528,0.06869230476122942,0.32489265093540454
geo_pessimistic,40,40,biomass,WECC_WYCO,0.0,4.8,0.0,4.8,0.0,0.0,0.0
geo_pessimistic,41,41,biomass,WECC_WYCO,0.0,8.04,0.0,8.04,0.0,0.0,0.0
geo_pessimistic,42,42,conventional_hydroelectric,WECC_WYCO,0.0,961.87,0.0,961.87,0.0,0.0,0.0
geo_pessimistic,43,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,324.0,0.0,0.0,1167.5641955641986,0.4113690863225797,0.10059823207598302
