Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
nuc_pessimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.93510061318204,0.42259546703295214,0.011712273167257361
nuc_pessimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
nuc_pessimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
nuc_pessimistic,4,4,geothermal,CA_N,0.0,542.55,0.0,542.55,0.0,0.0,0.0
nuc_pessimistic,5,5,geothermal,CA_N,0.0,100.32,0.0,100.32,0.0,0.0,0.0
nuc_pessimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1051.2017028041812,0.19507468809890102,0.09057234990514827
nuc_pessimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,1884.1801484114487,0.18292996941472753,0.16234241557164375
nuc_pessimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1176.9300776221983,0.101199720237277,0.10140520370156601
nuc_pessimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,1337.9563838237025,0.6600464434392316,0.11527935450469975
nuc_pessimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,9.518678571428612,0.5572344322344346,0.0008201366910900708
nuc_pessimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,3194.500372066847,0.13084173235444507,0.2752406171899648
nuc_pessimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
nuc_pessimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
nuc_pessimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
nuc_pessimistic,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
nuc_pessimistic,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
nuc_pessimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2383.821359467183,0.1676683462517396,0.20539188787943533
nuc_pessimistic,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,88.15433195769158,0.2396019024725255,0.0075954452684272025
nuc_pessimistic,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,8300.089724990721,0.20007999557685094,0.7151421357200977
nuc_pessimistic,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,935.2052621388283,0.8443419137010393,0.08057800706526497
nuc_pessimistic,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,26.43614278846134,0.43111778846153526,0.002277758462901777
nuc_pessimistic,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,11689.483990228922,0.14016974586341807,1.0071749611414649
nuc_pessimistic,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.46332245714287,0.37435828754578776,0.0017631356540481914
nuc_pessimistic,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
nuc_pessimistic,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
nuc_pessimistic,26,26,geothermal,WECC_N,0.0,165.24,0.0,165.24,0.0,0.0,0.0
nuc_pessimistic,27,27,geothermal,WECC_N,0.0,215.16,0.0,215.16,0.0,0.0,0.0
nuc_pessimistic,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,3855.6040092098324,0.11303254936534711,0.3322018167267912
nuc_pessimistic,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,1018.0746593983712,0.09801684104281994,0.08771809828182021
nuc_pessimistic,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
nuc_pessimistic,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
nuc_pessimistic,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
nuc_pessimistic,33,33,geothermal,WECC_NMAZ,0.0,0.68,0.0,0.68,0.0,0.0,0.0
nuc_pessimistic,34,34,geothermal,WECC_NMAZ,0.0,2.66,0.0,2.66,0.0,0.0,0.0
nuc_pessimistic,35,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,119.0,0.0,0.0,252.36338861309818,0.2420891261013566,0.02174382430673468
nuc_pessimistic,36,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,97.3,0.0,0.0,208.94553580316085,0.24514111114610565,0.018002908603933148
nuc_pessimistic,37,37,nuclear,WECC_NMAZ,4002.99,4002.99,0.0,0.0,38.275628084116214,0.0010915250691465497,0.003297857652271779
nuc_pessimistic,38,38,onshore_wind_turbine,WECC_NMAZ,0.0,1235.1,0.0,1235.1,0.0,0.0,0.0
nuc_pessimistic,39,39,solar_photovoltaic,WECC_NMAZ,6266.4,6266.4,0.0,0.0,8175.346326102292,0.14893060018916374,0.7043941482098595
nuc_pessimistic,40,40,biomass,WECC_WYCO,0.0,4.8,0.0,4.8,0.0,0.0,0.0
nuc_pessimistic,41,41,biomass,WECC_WYCO,0.0,8.04,0.0,8.04,0.0,0.0,0.0
nuc_pessimistic,42,42,conventional_hydroelectric,WECC_WYCO,0.0,961.87,0.0,961.87,0.0,0.0,0.0
nuc_pessimistic,43,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,324.0,0.0,0.0,1123.68479201414,0.39590901122320166,0.09681754880524307
