Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
bat_pessimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.9563830813139,0.4226616300366151,0.011714106881134861
bat_pessimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
bat_pessimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
bat_pessimistic,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4363.826977327818,0.9181711630912156,0.3759906998454384
bat_pessimistic,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,821.5292962752899,0.9348273837365293,0.07078359812497044
bat_pessimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1193.512069068364,0.22148365436880935,0.10283392088056213
bat_pessimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2196.2929624264007,0.21323216083195282,0.1892342964784507
bat_pessimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1238.2735441685625,0.1064744105276458,0.10669060411673927
bat_pessimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,620.3823712226233,0.3060497207895869,0.05345262384133338
bat_pessimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,3.990883928571426,0.23363095238095224,0.00034385763897182135
bat_pessimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,3774.400402435036,0.15459352942081317,0.32520525130385924
bat_pessimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
bat_pessimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
bat_pessimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
bat_pessimistic,15,15,geothermal,CA_S,535.15,535.15,0.0,0.0,4288.955807265717,0.9148964352301936,0.36953974205628837
bat_pessimistic,16,16,geothermal,CA_S,73.02,73.02,0.0,0.0,635.6184016384664,0.9936891025641102,0.05476537197930542
bat_pessimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2592.043707222387,0.18231386344291584,0.22333248604308667
bat_pessimistic,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,96.30153894723674,0.26174586580570974,0.00829741490968473
bat_pessimistic,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,7051.5261753716195,0.16998241859126162,0.6075649367931465
bat_pessimistic,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,463.02091002211966,0.41803438996650794,0.03989423891157417
bat_pessimistic,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,9.229691826922801,0.15051682692307242,0.0007952373701781014
bat_pessimistic,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,9823.773515490826,0.11779782907758271,0.8464239069061985
bat_pessimistic,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.46332245714287,0.37435828754578776,0.0017631356540481914
bat_pessimistic,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
bat_pessimistic,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
bat_pessimistic,26,26,geothermal,WECC_N,165.24,165.24,0.0,0.0,640.504512812836,0.4424894306308825,0.05518636308860435
bat_pessimistic,27,27,geothermal,WECC_N,215.16,215.16,0.0,0.0,1736.8975598754507,0.9215280589084023,0.14965243408832482
bat_pessimistic,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,3830.0744728576497,0.11228411447133062,0.33000217217404937
bat_pessimistic,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,1238.9023376936364,0.11927739520896816,0.10674478145208716
bat_pessimistic,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
bat_pessimistic,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
bat_pessimistic,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
bat_pessimistic,33,33,geothermal,WECC_NMAZ,0.68,0.68,0.0,0.0,5.641429170329858,0.9470570054945371,0.00048606989069480973
bat_pessimistic,34,34,geothermal,WECC_NMAZ,2.66,2.66,0.0,0.0,22.06322238461573,0.9468543956044104,0.0019009842664103487
bat_pessimistic,35,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,119.0,0.0,0.0,285.6609792347436,0.27403109937717623,0.02461277040978703
bat_pessimistic,36,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,97.3,0.0,0.0,235.6877497493326,0.2765158711574763,0.02030703839397231
bat_pessimistic,37,37,nuclear,WECC_NMAZ,4002.99,4002.99,0.0,0.0,36.12588502747253,0.0010302197802197802,0.0031126341315972075
bat_pessimistic,38,38,onshore_wind_turbine,WECC_NMAZ,0.0,1235.1,0.0,1235.1,0.0,0.0,0.0
bat_pessimistic,39,39,solar_photovoltaic,WECC_NMAZ,6266.4,6266.4,0.0,0.0,9727.068363510285,0.17719838055463533,0.8380917163861041
bat_pessimistic,40,40,biomass,WECC_WYCO,0.0,4.8,0.0,4.8,0.0,0.0,0.0
bat_pessimistic,41,41,biomass,WECC_WYCO,0.0,8.04,0.0,8.04,0.0,0.0,0.0
bat_pessimistic,42,42,conventional_hydroelectric,WECC_WYCO,0.0,961.87,0.0,961.87,0.0,0.0,0.0
bat_pessimistic,43,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,324.0,0.0,0.0,683.5971648344083,0.24085248775100354,0.05889925924052934
bat_pessimistic,44,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,238.5,0.0,0.0,514.3366518450555,0.2461812564472854,0.044315642826380224
bat_pessimistic,45,45,onshore_wind_turbine,WECC_WYCO,5751.7,5751.7,0.0,0.0,26070.805644860466,0.5174329964795888,2.246280732685686
bat_pessimistic,46,46,solar_photovoltaic,WECC_WYCO,593.1,593.1,0.0,0.0,1255.9469773011785,0.24173485519185597,0.10821336075368389
bat_pessimistic,47,47,naturalgas_ccccsavgcf,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
