Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
geo_pessimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,136.4245973802148,0.42411721611720066,0.011754448586439868
geo_pessimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
geo_pessimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
geo_pessimistic,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4379.834426234249,0.9215392109209994,0.3773699139958479
geo_pessimistic,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,830.3037831246772,0.9448119705580013,0.07153961468301143
geo_pessimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1342.0586931222979,0.24904990191023277,0.1156328126395376
geo_pessimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2437.5482136311844,0.23665498256226444,0.21002103509415526
geo_pessimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1394.1113025043637,0.11987430389926372,0.12011770563186439
geo_pessimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,800.0054512819466,0.3946621573280107,0.06892908703081899
geo_pessimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,5.441758928571418,0.31856684981684924,0.00046886614858333045
geo_pessimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,4471.6559112050345,0.1831520230928989,0.3852813239977526
geo_pessimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
geo_pessimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
geo_pessimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
geo_pessimistic,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
geo_pessimistic,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
geo_pessimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2534.2092116527797,0.17824601910133014,0.21834942127507417
