Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
moderate_all,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,136.4245973802148,0.42411721611720066,0.011754448586439868
moderate_all,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
moderate_all,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
moderate_all,4,4,geothermal,CA_N,542.55,542.55,0.0,0.0,4355.190805239672,0.9163540690102572,0.3752466005939607
moderate_all,5,5,geothermal,CA_N,100.32,100.32,0.0,0.0,824.2619885129875,0.9379369448279063,0.07101904899693495
moderate_all,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1285.0472858866915,0.23847012216396926,0.11072066579754362
moderate_all,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2357.609995469516,0.22889399653568387,0.20313349653060578
moderate_all,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1280.112999818387,0.11007202544729898,0.11029552390220765
moderate_all,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,738.2789313455343,0.3642109629224999,0.06361068243996446
moderate_all,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,4.659616071428524,0.2727793040293013,0.0004014761164477425
moderate_all,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,4315.339825558181,0.1767495610303676,0.3718130094323915
moderate_all,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
moderate_all,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
moderate_all,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
moderate_all,15,15,geothermal,CA_S,535.15,535.15,0.0,0.0,4327.1308833246085,0.9230397322400983,0.37282893606847267
moderate_all,16,16,geothermal,CA_S,73.02,73.02,0.0,0.0,636.5768593500048,0.9951875000000076,0.05484795343535441
moderate_all,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2476.159026192535,0.17416300400581078,0.2133477724996408
moderate_all,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,103.25441247640636,0.2806436520885148,0.008896479858352818
moderate_all,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,5575.335001880445,0.134397704058187,0.48037516613764714
moderate_all,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,365.6454759788809,0.3301198286866629,0.03150429637171432
moderate_all,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,7.637730288461482,0.12455528846153754,0.000658072735539076
moderate_all,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,7278.465974193097,0.08727679739593043,0.6271182449845542
moderate_all,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.4868242857143,0.3747882326007328,0.0017651605897338013
moderate_all,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
moderate_all,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
moderate_all,26,26,geothermal,WECC_N,165.24,165.24,0.0,0.0,449.156957898578,0.31029790202667573,0.03869971009807248
moderate_all,27,27,geothermal,WECC_N,215.16,215.16,0.0,0.0,1697.946385795175,0.9008621309506397,0.14629637087171846
moderate_all,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,2501.4797196432014,0.07333445790117106,0.21552942298682798
