Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
optimistic_all,6,hydroelectric_pumped_storage,CA_N,264.24598987500013,9764.286,0.0,0.0,36.951501154734395
optimistic_all,7,hydroelectric_pumped_storage,CA_N,505.0807522500002,18663.492,0.0,0.0,36.951501154734395
optimistic_all,17,hydroelectric_pumped_storage,CA_S,1623.0,19038.946466146903,0.0,0.0,11.730712548457735
optimistic_all,18,hydroelectric_pumped_storage,CA_S,42.0,642.654512702078,0.0,0.0,15.301297921478048
optimistic_all,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,1888.889,0.0,0.0,15.873016806722688
optimistic_all,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,1544.444,0.0,0.0,15.873011305241521
optimistic_all,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,5142.857,0.0,0.0,15.873015432098766
optimistic_all,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,3785.714,0.0,0.0,15.87301467505241
optimistic_all,58,battery,CA_N,39509.78136670552,138281.42528631198,39509.78136670552,138281.42528631198,3.4999288910983517
optimistic_all,75,battery,CA_S,18754.733994882507,23902.781573835135,18754.733994882507,23902.781573835135,1.2744932335674473
optimistic_all,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
optimistic_all,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
optimistic_all,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
optimistic_all,141,battery,WECC_WYCO,15782.51474075826,15782.51474075826,15782.51474075826,15782.51474075826,1.0
optimistic_all,167,hydroelectric_pumped_storage,WECC_PNW,214.0,3396.825,0.0,0.0,15.873014018691588
optimistic_all,168,hydroelectric_pumped_storage,WECC_PNW,100.0,1154.7344110854503,0.0,0.0,11.547344110854503
