Scenario,Total_B,FixedGen_B,FixedStor_B,FixedTrans_B,Variable_B,NSE_B,Geo_mult,Nuc_mult,Bat_mult,SolveTime_s
geo_opt_nuc_pess,13.633867722589263,13.411456572802294,0.09930105599931106,0.1219099415,0.0012001522897855958,0.0,0.28,0.7,1.0,320.4513777
moderate_all,13.05383133201535,12.357461721531973,0.5727806090769195,0.1219099415,0.0016790599085945883,0.0,0.5,0.56,0.48,215.6255051
nuc_optimistic,13.577553667313893,13.355142517526922,0.09930105599931117,0.1219099415,0.0012001522897855967,0.0,1.0,0.39,1.0,125.8965723
optimistic_all,12.55204552160181,11.950644887672356,0.4777078953738294,0.1219099415,0.0017827970577601606,0.0,0.28,0.39,0.31,219.7343466
geo_moderate,13.839268707989067,13.616857558202097,0.09930105599931097,0.1219099415,0.0012001522897855962,0.0,0.5,1.0,1.0,266.1871034
geo_optimistic,13.79016858011226,13.567757430325292,0.09930105599931094,0.1219099415,0.0012001522897855965,0.0,0.28,1.0,1.0,589.727208
nuc_pessimistic,13.739064553420993,13.516653403634024,0.09930105599931115,0.1219099415,0.0012001522897855965,0.0,1.0,0.7,1.0,228.7717042
nuc_moderate,13.666124153243596,13.443713003456624,0.09930105599931141,0.1219099415,0.001200152289785596,0.0,1.0,0.56,1.0,156.5618075
pessimistic_all,13.65677076588346,13.254962044561669,0.27860012740851,0.1219099415,0.0012986524154068608,0.0,0.8,0.7,0.8,286.0387511
nuc_opt_bat_opt,12.655296658685357,12.053896024755904,0.47770789537383046,0.1219099415,0.001782797057760162,0.0,1.0,0.39,0.31,279.1372951
geo_pessimistic,13.894868647937503,13.672457498150534,0.09930105599931115,0.1219099415,0.001200152289785596,0.0,0.8,1.0,1.0,346.0043454
bat_pessimistic,13.813568386412946,13.411759665091157,0.2786001274085101,0.1219099415,0.001298652415406861,0.0,1.0,1.0,0.8,616.5572147
bat_moderate,13.337443494019478,12.640568627390916,0.5732859590483849,0.1219099415,0.0016789660823131037,0.0,1.0,1.0,0.48,643.9856399
bat_optimistic,12.973108402315457,12.371707768386,0.4777078953738298,0.1219099415,0.001782797057760162,0.0,1.0,1.0,0.31,422.5750695
