Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
bat_moderate,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,136.9140941472476,0.4256389652014491,0.015182277372644383
bat_moderate,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
bat_moderate,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
bat_moderate,4,4,geothermal,CA_N,0.0,542.55,0.0,542.55,0.0,0.0,0.0
bat_moderate,5,5,geothermal,CA_N,0.0,100.32,0.0,100.32,0.0,0.0,0.0
bat_moderate,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1467.8789628380334,0.27239875095208865,0.16277174166823788
bat_moderate,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2936.63867954686,0.28511032996740004,0.325641149319271
bat_moderate,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,1722.9664316626522,0.1481512998756513,0.19105815535049933
bat_moderate,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,1353.387752890979,0.6676591133239894,0.15007591720274194
bat_moderate,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,12.99464121282092,0.7607212980225336,0.0014409637552644126
bat_moderate,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,4702.073801088281,0.19258957900661877,0.5214086184435506
bat_moderate,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
bat_moderate,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
bat_moderate,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
bat_moderate,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
bat_moderate,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
bat_moderate,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,4109.473040589105,0.28904370117553213,0.45569566775592873
bat_moderate,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,110.47132383179414,0.30025908847519606,0.01225006300909917
bat_moderate,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,13037.054377109833,0.3142681426989293,1.445666911856847
bat_moderate,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,866.6540838513964,0.7824510803140484,0.09610247045140619
bat_moderate,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,39.4437951923069,0.6432451923076794,0.004373885997414818
bat_moderate,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,15491.498137883302,0.1857600693790926,1.7178379122473748
bat_moderate,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.557329771428584,0.37607806776556796,0.0022795833005701065
bat_moderate,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
bat_moderate,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
bat_moderate,26,26,geothermal,WECC_N,0.0,165.24,0.0,165.24,0.0,0.0,0.0
bat_moderate,27,27,geothermal,WECC_N,0.0,215.16,0.0,215.16,0.0,0.0,0.0
bat_moderate,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,6808.417242430735,0.19959849512985875,0.7549790961046654
bat_moderate,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,1811.8466999262323,0.1744385722021356,0.20091400616072683
bat_moderate,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
bat_moderate,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
bat_moderate,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
bat_moderate,33,33,geothermal,WECC_NMAZ,0.0,0.68,0.0,0.68,0.0,0.0,0.0
bat_moderate,34,34,geothermal,WECC_NMAZ,0.0,2.66,0.0,2.66,0.0,0.0,0.0
bat_moderate,35,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,119.0,0.0,0.0,246.49077303688165,0.23645559747983735,0.027333134030881674
bat_moderate,36,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,97.3,0.0,0.0,248.56523625068667,0.29162412095844265,0.027563169339572854
bat_moderate,37,37,nuclear,WECC_NMAZ,4002.99,4002.99,0.0,0.0,85.66724347123039,0.0024430152693518674,0.009499561460278085
bat_moderate,38,38,onshore_wind_turbine,WECC_NMAZ,0.0,1235.1,0.0,1235.1,0.0,0.0,0.0
bat_moderate,39,39,solar_photovoltaic,WECC_NMAZ,6266.4,6266.4,0.0,0.0,8648.479673552121,0.1575496886772237,0.9590219186224291
bat_moderate,40,40,biomass,WECC_WYCO,0.0,4.8,0.0,4.8,0.0,0.0,0.0
bat_moderate,41,41,biomass,WECC_WYCO,0.0,8.04,0.0,8.04,0.0,0.0,0.0
bat_moderate,42,42,conventional_hydroelectric,WECC_WYCO,0.0,961.87,0.0,961.87,0.0,0.0,0.0
bat_moderate,43,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,324.0,0.0,0.0,824.2409434161566,0.2904056540025356,0.09139931650408355
bat_moderate,44,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,238.5,0.0,0.0,513.8144654671325,0.24593131801074666,0.056976411240827966
bat_moderate,45,45,onshore_wind_turbine,WECC_WYCO,5751.7,5751.7,0.0,0.0,41359.89572541786,0.820878919923414,4.5863606147926035
bat_moderate,46,46,solar_photovoltaic,WECC_WYCO,593.1,593.1,0.0,0.0,3869.3602009040296,0.7447442007946848,0.42906977686034636
bat_moderate,47,47,naturalgas_ccccsavgcf,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,48,48,new_onshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,49,49,new_floating_offshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,50,50,new_floating_offshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,51,51,new_floating_offshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,52,52,new_floating_offshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,53,53,new_floating_offshore_wind,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,54,54,new_utility_pv,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,55,55,new_utility_pv,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,56,56,new_utility_pv,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,57,57,new_utility_pv,CA_N,12643.49618878533,0.0,12643.49618878533,0.0,93372.25328254224,0.8430368360118335,10.353962877771849
bat_moderate,58,58,battery,CA_N,15418.651758704355,0.0,15418.651758704355,0.0,12192.747717051094,0.09027158791363213,1.3520425265777336
bat_moderate,59,59,nuclear,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,60,60,naturalgas_ccs100,CA_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,61,61,naturalgas_ccccsavgcf,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,62,62,new_onshore_wind,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,63,63,new_onshore_wind,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,64,64,new_onshore_wind,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,65,65,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,66,66,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,67,67,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,68,68,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,69,69,new_utility_pv,CA_S,15689.113512870397,0.0,15689.113512870397,0.0,104577.74978256681,0.7609161142504361,11.596530029248628
bat_moderate,70,70,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,71,71,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,72,72,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat_moderate,73,73,new_utility_pv,CA_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0
