Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
nuc_moderate,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.9138181450502,0.4225293040292892,0.01507135769115251
nuc_moderate,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
nuc_moderate,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
nuc_moderate,4,4,geothermal,CA_N,0.0,542.55,0.0,542.55,0.0,0.0,0.0
nuc_moderate,5,5,geothermal,CA_N,0.0,100.32,0.0,100.32,0.0,0.0,0.0
nuc_moderate,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1233.669534612775,0.22893579704040237,0.13680047461387518
nuc_moderate,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,2096.9467949790933,0.20358690934794355,0.2325284922296677
nuc_moderate,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,460.61434506978065,0.039606467490842526,0.05107709905415117
nuc_moderate,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,242.38075292733345,0.11957232377829878,0.026877377699154437
nuc_moderate,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,0.04106250000000001,0.0024038461538461544,4.553382677635332e-6
nuc_moderate,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,1295.6892490891466,0.05306940247252741,0.14367778343746365
nuc_moderate,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
nuc_moderate,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
nuc_moderate,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
nuc_moderate,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
nuc_moderate,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
nuc_moderate,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2698.236422195832,0.18978302921444812,0.2992049433178991
nuc_moderate,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,115.85657702351556,0.3148961106314295,0.012847228758818855
nuc_moderate,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,6324.852026402428,0.15246538379658892,0.7013569961796661
nuc_moderate,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,216.84233762473855,0.1957742131419911,0.02404544642723742
nuc_moderate,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,3.4256653846153244,0.05586538461538364,0.0003798688687167706
nuc_moderate,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,7678.539923172481,0.09207412324896974,0.8514661960597846
nuc_moderate,23,23,biomass,WECC_N,6.24,6.24,0.0,0.0,20.471156400000012,0.37450160256410275,0.0022700276150483703
nuc_moderate,24,24,biomass,WECC_N,0.0,13.8,0.0,13.8,0.0,0.0,0.0
nuc_moderate,25,25,conventional_hydroelectric,WECC_N,0.0,4648.1,0.0,4648.1,0.0,0.0,0.0
nuc_moderate,26,26,geothermal,WECC_N,0.0,165.24,0.0,165.24,0.0,0.0,0.0
nuc_moderate,27,27,geothermal,WECC_N,0.0,215.16,0.0,215.16,0.0,0.0,0.0
nuc_moderate,28,28,onshore_wind_turbine,WECC_N,3893.9,3893.9,0.0,0.0,1456.1904441058437,0.04269030685349687,0.16147561262781487
nuc_moderate,29,29,solar_photovoltaic,WECC_N,1185.7,1185.7,0.0,0.0,338.9902271161291,0.03263685123637821,0.037590313011585975
nuc_moderate,30,30,biomass,WECC_NMAZ,0.0,3.54,0.0,3.54,0.0,0.0,0.0
nuc_moderate,31,31,biomass,WECC_NMAZ,0.0,11.4,0.0,11.4,0.0,0.0,0.0
nuc_moderate,32,32,conventional_hydroelectric,WECC_NMAZ,0.0,3960.0,0.0,3960.0,0.0,0.0,0.0
