Scenario,idx,R_ID,Resource,Zone,Total_MW,Start_MW,New_MW,Retired_MW,GWh_yr,CF_realized,Pct_demand
nuc_optimistic,1,1,biomass,CA_N,36.72,36.72,0.0,0.0,135.9138181450502,0.4225293040292892,0.01507135769115251
nuc_optimistic,2,2,biomass,CA_N,0.0,33.06,0.0,33.06,0.0,0.0,0.0
nuc_optimistic,3,3,conventional_hydroelectric,CA_N,0.0,6607.44,0.0,6607.44,0.0,0.0,0.0
nuc_optimistic,4,4,geothermal,CA_N,0.0,542.55,0.0,542.55,0.0,0.0,0.0
nuc_optimistic,5,5,geothermal,CA_N,0.0,100.32,0.0,100.32,0.0,0.0,0.0
nuc_optimistic,6,6,hydroelectric_pumped_storage,CA_N,615.15,615.15,0.0,0.0,1189.9284100124587,0.22081862388919854,0.13195006172972618
nuc_optimistic,7,7,hydroelectric_pumped_storage,CA_N,1175.8,1175.8,0.0,0.0,1999.2935504105628,0.19410601918081646,0.22169981418441392
nuc_optimistic,8,8,onshore_wind_turbine,CA_N,1327.6,1327.6,0.0,0.0,510.79863900604437,0.0439216231684982,0.05664198903159392
nuc_optimistic,9,9,small_hydroelectric,CA_N,231.4,231.4,0.0,0.0,237.084537748761,0.11695957194679645,0.026290085292429544
nuc_optimistic,10,10,small_hydroelectric,CA_N,1.95,1.95,0.0,0.0,0.04106250000000001,0.0024038461538461544,4.553382677635332e-6
nuc_optimistic,11,11,solar_photovoltaic,CA_N,2787.1,2787.1,0.0,0.0,1663.1841266100264,0.06812141712454209,0.18442895079023786
nuc_optimistic,12,12,biomass,CA_S,0.0,67.2,0.0,67.2,0.0,0.0,0.0
nuc_optimistic,13,13,biomass,CA_S,0.0,38.1,0.0,38.1,0.0,0.0,0.0
nuc_optimistic,14,14,conventional_hydroelectric,CA_S,0.0,1396.0,0.0,1396.0,0.0,0.0,0.0
nuc_optimistic,15,15,geothermal,CA_S,0.0,535.15,0.0,535.15,0.0,0.0,0.0
nuc_optimistic,16,16,geothermal,CA_S,0.0,73.02,0.0,73.02,0.0,0.0,0.0
nuc_optimistic,17,17,hydroelectric_pumped_storage,CA_S,1623.0,1623.0,0.0,0.0,2614.3587138391117,0.18388341069156502,0.28990382175269397
nuc_optimistic,18,18,hydroelectric_pumped_storage,CA_S,42.0,42.0,0.0,0.0,114.25290761670239,0.3105373657770776,0.012669399340307152
nuc_optimistic,19,19,onshore_wind_turbine,CA_S,4735.6,4735.6,0.0,0.0,6191.295358260702,0.14924589841071434,0.6865470206740533
nuc_optimistic,20,20,small_hydroelectric,CA_S,126.44,126.44,0.0,0.0,219.39703629065932,0.19808070054945054,0.02432873460141049
nuc_optimistic,21,21,small_hydroelectric,CA_S,7.0,7.0,0.0,0.0,3.419032211538401,0.055757211538460555,0.00037913332228422945
nuc_optimistic,22,22,solar_photovoltaic,CA_S,9520.0,9520.0,0.0,0.0,8080.971498003972,0.09689971962419866,0.896091461491047
