Scenario,Line,Total_MW,New_MW,Start_MW
geo_opt_nuc_pess,1,3675.0,0.0,3675
geo_opt_nuc_pess,2,100.0,0.0,100
geo_opt_nuc_pess,3,1920.0,0.0,1920
geo_opt_nuc_pess,4,10464.0,0.0,10464
geo_opt_nuc_pess,5,800.0,0.0,800
geo_opt_nuc_pess,6,6350.0,0.0,6350
geo_opt_nuc_pess,7,664.0,0.0,664
geo_opt_nuc_pess,8,4200.0,0.0,4200
geo_opt_nuc_pess,9,2858.0,0.0,2858
geo_opt_nuc_pess,10,5150.0,0.0,5150
moderate_all,1,3675.0,0.0,3675
moderate_all,2,100.0,0.0,100
moderate_all,3,1920.0,0.0,1920
moderate_all,4,10464.0,0.0,10464
moderate_all,5,800.0,0.0,800
moderate_all,6,6350.0,0.0,6350
moderate_all,7,664.0,0.0,664
moderate_all,8,4200.0,0.0,4200
moderate_all,9,2858.0,0.0,2858
moderate_all,10,5150.0,0.0,5150
nuc_optimistic,1,3675.0,0.0,3675
nuc_optimistic,2,100.0,0.0,100
nuc_optimistic,3,1920.0,0.0,1920
nuc_optimistic,4,10464.0,0.0,10464
nuc_optimistic,5,800.0,0.0,800
nuc_optimistic,6,6350.0,0.0,6350
nuc_optimistic,7,664.0,0.0,664
nuc_optimistic,8,4200.0,0.0,4200
nuc_optimistic,9,2858.0,0.0,2858
nuc_optimistic,10,5150.0,0.0,5150
optimistic_all,1,3675.0,0.0,3675
optimistic_all,2,100.0,0.0,100
optimistic_all,3,1920.0,0.0,1920
optimistic_all,4,10464.0,0.0,10464
optimistic_all,5,800.0,0.0,800
optimistic_all,6,6350.0,0.0,6350
optimistic_all,7,664.0,0.0,664
optimistic_all,8,4200.0,0.0,4200
optimistic_all,9,2858.0,0.0,2858
optimistic_all,10,5150.0,0.0,5150
geo_moderate,1,3675.0,0.0,3675
geo_moderate,2,100.0,0.0,100
geo_moderate,3,1920.0,0.0,1920
geo_moderate,4,10464.0,0.0,10464
geo_moderate,5,800.0,0.0,800
geo_moderate,6,6350.0,0.0,6350
geo_moderate,7,664.0,0.0,664
geo_moderate,8,4200.0,0.0,4200
geo_moderate,9,2858.0,0.0,2858
geo_moderate,10,5150.0,0.0,5150
geo_optimistic,1,3675.0,0.0,3675
geo_optimistic,2,100.0,0.0,100
geo_optimistic,3,1920.0,0.0,1920
geo_optimistic,4,10464.0,0.0,10464
geo_optimistic,5,800.0,0.0,800
geo_optimistic,6,6350.0,0.0,6350
geo_optimistic,7,664.0,0.0,664
geo_optimistic,8,4200.0,0.0,4200
geo_optimistic,9,2858.0,0.0,2858
geo_optimistic,10,5150.0,0.0,5150
nuc_pessimistic,1,3675.0,0.0,3675
nuc_pessimistic,2,100.0,0.0,100
nuc_pessimistic,3,1920.0,0.0,1920
nuc_pessimistic,4,10464.0,0.0,10464
nuc_pessimistic,5,800.0,0.0,800
nuc_pessimistic,6,6350.0,0.0,6350
nuc_pessimistic,7,664.0,0.0,664
nuc_pessimistic,8,4200.0,0.0,4200
nuc_pessimistic,9,2858.0,0.0,2858
nuc_pessimistic,10,5150.0,0.0,5150
nuc_moderate,1,3675.0,0.0,3675
nuc_moderate,2,100.0,0.0,100
nuc_moderate,3,1920.0,0.0,1920
nuc_moderate,4,10464.0,0.0,10464
nuc_moderate,5,800.0,0.0,800
nuc_moderate,6,6350.0,0.0,6350
nuc_moderate,7,664.0,0.0,664
nuc_moderate,8,4200.0,0.0,4200
nuc_moderate,9,2858.0,0.0,2858
nuc_moderate,10,5150.0,0.0,5150
pessimistic_all,1,3675.0,0.0,3675
pessimistic_all,2,100.0,0.0,100
pessimistic_all,3,1920.0,0.0,1920
pessimistic_all,4,10464.0,0.0,10464
pessimistic_all,5,800.0,0.0,800
pessimistic_all,6,6350.0,0.0,6350
pessimistic_all,7,664.0,0.0,664
pessimistic_all,8,4200.0,0.0,4200
pessimistic_all,9,2858.0,0.0,2858
pessimistic_all,10,5150.0,0.0,5150
nuc_opt_bat_opt,1,3675.0,0.0,3675
nuc_opt_bat_opt,2,100.0,0.0,100
nuc_opt_bat_opt,3,1920.0,0.0,1920
nuc_opt_bat_opt,4,10464.0,0.0,10464
nuc_opt_bat_opt,5,800.0,0.0,800
nuc_opt_bat_opt,6,6350.0,0.0,6350
nuc_opt_bat_opt,7,664.0,0.0,664
nuc_opt_bat_opt,8,4200.0,0.0,4200
nuc_opt_bat_opt,9,2858.0,0.0,2858
nuc_opt_bat_opt,10,5150.0,0.0,5150
geo_pessimistic,1,3675.0,0.0,3675
geo_pessimistic,2,100.0,0.0,100
geo_pessimistic,3,1920.0,0.0,1920
geo_pessimistic,4,10464.0,0.0,10464
geo_pessimistic,5,800.0,0.0,800
geo_pessimistic,6,6350.0,0.0,6350
geo_pessimistic,7,664.0,0.0,664
geo_pessimistic,8,4200.0,0.0,4200
geo_pessimistic,9,2858.0,0.0,2858
geo_pessimistic,10,5150.0,0.0,5150
bat_pessimistic,1,3675.0,0.0,3675
bat_pessimistic,2,100.0,0.0,100
bat_pessimistic,3,1920.0,0.0,1920
bat_pessimistic,4,10464.0,0.0,10464
bat_pessimistic,5,800.0,0.0,800
bat_pessimistic,6,6350.0,0.0,6350
bat_pessimistic,7,664.0,0.0,664
bat_pessimistic,8,4200.0,0.0,4200
bat_pessimistic,9,2858.0,0.0,2858
bat_pessimistic,10,5150.0,0.0,5150
bat_moderate,1,3675.0,0.0,3675
bat_moderate,2,100.0,0.0,100
bat_moderate,3,1920.0,0.0,1920
bat_moderate,4,10464.0,0.0,10464
bat_moderate,5,800.0,0.0,800
bat_moderate,6,6350.0,0.0,6350
bat_moderate,7,664.0,0.0,664
bat_moderate,8,4200.0,0.0,4200
bat_moderate,9,2858.0,0.0,2858
bat_moderate,10,5150.0,0.0,5150
